date,S,vix,r,sentiment
2018-05-21,90.1632308959961,13.079999923706055,3.06,0.1335855
2018-05-22,90.85462188720703,13.220000267028809,3.06,
2018-05-23,90.43657684326172,12.579999923706055,3.01,0.250378
2018-05-24,89.42359924316406,12.529999732971191,2.98,0.144672
2018-05-25,88.96537017822266,13.220000267028809,2.93,
2018-05-29,85.16265106201172,17.020000457763672,2.77,-0.669631
2018-05-30,87.10822296142578,14.9399995803833,2.84,0.3295495
2018-05-31,86.03093719482422,15.430000305175781,2.83,
2018-06-01,87.1484146118164,13.460000038146973,2.89,0.111995
2018-06-04,87.1886215209961,12.739999771118164,2.94,
2018-06-05,86.69821166992188,12.399999618530273,2.92,
2018-06-06,88.72416687011719,11.640000343322754,2.97,0.170791
2018-06-07,89.07791900634766,12.130000114440918,2.93,0.129862
2018-06-08,89.32713317871094,12.180000305175781,2.93,
2018-06-11,89.10203552246094,12.350000381469727,2.96,-0.074128
2018-06-12,88.5875015258789,12.34000015258789,2.96,
2018-06-13,88.4106216430664,12.9399995803833,2.98,0.107477
2018-06-14,86.8509750366211,12.119999885559082,2.94,
2018-06-15,86.74644470214844,11.979999542236328,2.93,
2018-06-18,86.9715576171875,12.3100004196167,2.92,-0.398632
2018-06-19,86.46504974365234,13.350000381469727,2.89,
2018-06-20,86.45700073242188,12.789999961853027,2.93,0.10773166666666667
2018-06-21,86.43290710449219,14.640000343322754,2.9,
2018-06-22,85.01797485351562,13.770000457763672,2.9,
2018-06-25,84.24614715576172,17.329999923706055,2.87,0.312633
2018-06-26,84.30242156982422,15.920000076293945,2.88,0.153729
2018-06-27,83.00003814697266,17.90999984741211,2.83,
2018-06-28,84.35869598388672,16.850000381469727,2.84,0.296115
2018-06-29,83.77181243896484,16.09000015258789,2.85,-0.08501966666666666
2018-07-02,84.47929382324219,15.600000381469727,2.87,0.130081
2018-07-03,83.29747772216797,16.139999389648438,2.83,0.113291
2018-07-05,83.83906555175781,14.970000267028809,2.84,0.022245
2018-07-06,84.11387634277344,13.369999885559082,2.82,
2018-07-09,86.7166976928711,12.6899995803833,2.86,0.18514
2018-07-10,86.18318176269531,12.640000343322754,2.87,
2018-07-11,85.99727630615234,13.630000114440918,2.85,0.21988600000000003
2018-07-12,86.36910247802734,12.579999923706055,2.85,
2018-07-13,85.9730453491211,12.180000305175781,2.83,0.152336
2018-07-16,89.38414001464844,12.829999923706055,2.85,
2018-07-17,89.31948852539062,12.0600004196167,2.86,
2018-07-18,90.15203857421875,12.100000381469727,2.88,0.374458
2018-07-19,88.82638549804688,12.869999885559082,2.84,0.1635885
2018-07-20,89.9499740600586,12.859999656677246,2.89,0.10981049999999999
2018-07-23,91.6231918334961,12.619999885559082,2.96,0.14377
2018-07-24,92.26985931396484,12.40999984741211,2.95,0.391646
2018-07-25,93.1024169921875,12.289999961853027,2.94,
2018-07-26,92.83567810058594,12.140000343322754,2.98,
2018-07-27,93.78948974609375,13.029999732971191,2.96,0.0116
2018-07-30,94.3553237915039,14.260000228881836,2.98,0.3248185
2018-07-31,92.91650390625,12.829999923706055,2.96,
2018-08-01,93.49041748046875,13.149999618530273,3.0,-0.0484085
2018-08-02,93.88650512695312,12.1899995803833,2.98,0.295567
2018-08-03,94.64630889892578,11.640000343322754,2.95,-0.101945
2018-08-06,94.67058563232422,11.270000457763672,2.94,-0.042789999999999995
2018-08-07,95.01813507080078,10.930000305175781,2.98,
2018-08-08,95.21214294433594,10.850000381469727,2.96,
2018-08-09,94.4765625,11.270000457763672,2.93,0.142696
2018-08-10,93.54698944091797,13.15999984741211,2.87,0.239741
2018-08-13,92.0596694946289,14.779999732971191,2.88,
2018-08-14,92.67401885986328,13.3100004196167,2.89,0.183457
2018-08-15,91.9061050415039,14.640000343322754,2.86,
2018-08-16,92.77101135253906,13.449999809265137,2.87,0.0967925
2018-08-17,92.77101135253906,12.640000343322754,2.87,
2018-08-20,92.64976501464844,12.489999771118164,2.82,
2018-08-21,93.21558380126953,12.859999656677246,2.85,0.003569
2018-08-22,92.93267059326172,12.25,2.82,0.177234
2018-08-23,92.73867797851562,12.40999984741211,2.82,0.22705699999999998
2018-08-24,92.69825744628906,11.989999771118164,2.82,
2018-08-27,94.33914184570312,12.15999984741211,2.85,0.246173
2018-08-28,93.87841033935547,12.5,2.88,
2018-08-29,93.57125091552734,12.25,2.89,
2018-08-30,93.11051177978516,13.529999732971191,2.86,0.168433
2018-08-31,92.617431640625,12.859999656677246,2.86,
2018-09-04,93.07818603515625,13.15999984741211,2.9,0.215256
2018-09-05,92.6255111694336,13.90999984741211,2.9,0.13829950000000002
2018-09-06,92.22944641113281,14.649999618530273,2.88,
2018-09-07,92.4072494506836,14.880000114440918,2.94,0.245157
2018-09-10,91.9141845703125,14.15999984741211,2.94,0.121662
2018-09-11,92.49620056152344,13.220000267028809,2.98,0.127103
2018-09-12,91.40496063232422,13.140000343322754,2.97,0.218425
2018-09-13,91.76061248779297,12.369999885559082,2.97,0.24394025000000003
2018-09-14,91.74443817138672,12.069999694824219,2.99,0.324444
2018-09-17,92.01925659179688,13.680000305175781,2.99,0.26408
2018-09-18,92.39109802246094,12.789999961853027,3.05,-0.2271375
2018-09-19,95.0747299194336,11.75,3.08,
2018-09-20,95.89114379882812,11.800000190734863,3.07,0.11751649999999998
2018-09-21,95.26063537597656,11.680000305175781,3.07,-0.281284
2018-09-24,94.34724426269531,12.199999809265137,3.08,0.1287875
2018-09-25,94.08048248291016,12.420000076293945,3.1,0.1182585
2018-09-26,92.97308349609375,12.890000343322754,3.06,0.075006
2018-09-27,92.56892395019531,12.40999984741211,3.06,
2018-09-28,91.2109603881836,12.119999885559082,3.05,
2018-10-01,91.74443817138672,12.0,3.09,0.040287500000000004
2018-10-02,92.12435913085938,12.050000190734863,3.05,0.2443635
2018-10-03,92.9892578125,11.609999656677246,3.15,0.08027700000000002
2018-10-04,93.82764434814453,14.220000267028809,3.19,
2018-10-05,93.29857635498047,14.819999694824219,3.23,0.06399149999999999
2018-10-08,93.86834716796875,15.6899995803833,,0.0279125
2018-10-09,93.2171859741211,15.949999809265137,3.21,0.083888
