date,regime,bsm_delta,bsm_gamma,bsm_vega,bsm_theta,bsm_rho,heston_delta,heston_gamma,heston_vega,heston_theta,heston_rho,sabr_delta,sabr_gamma,sabr_vega,sabr_theta,sabr_rho
2018-11-09,Low_Vol,0.9011081646725605,0.033765625317793105,4.552140021439922,-245.0087632234646,6.259776294448385,1.0000000000002336,0.0,0.0,-268.988317522485,7.026863049176724,0.9011033707546693,0.03370716850666038,4.557754557131073,-245.0232150764009,6.259654276315392
2018-11-13,Low_Vol,0.8356762151360162,0.05055963347531909,6.37527310674435,-225.7513714628919,5.798239778069751,1.0000000000005835,0.0,0.0,-265.87771875597355,7.056202727069361,0.835759492519326,0.050510653961053954,6.3783224978050574,-225.78657548166348,5.798781168487886
2018-11-15,High_Vol,0.8291918043660377,0.048367923921136424,6.564846779393805,-222.86203540108684,5.757502815766023,0.9999999999997334,0.0,0.0,-263.99665310435694,7.073865302903454,0.829281750993088,0.04832488410964011,6.567750026597921,-222.89954282626923,5.758092029553547
2018-11-20,High_Vol,0.7178271180822023,0.0595333178258867,8.610326774792934,-192.97321335993144,4.941918348332817,0.999999999999302,0.0,0.0,-260.836893241958,7.103401232079467,0.7179548179852284,0.05954167754507739,8.612426075549774,-193.0181199580261,4.942787665280648
2018-11-26,High_Vol,0.7615370242670372,0.05469819440022726,7.953235613636127,-204.37374290861408,5.261861048943508,1.000000000000391,0.0,0.0,-261.4713178115835,7.097484196816799,0.7616635866483009,0.054687062728944504,7.955362873085558,-204.41951003135728,5.262721617023371
2018-11-28,High_Vol,0.7812201605773259,0.04176444683554004,7.694017978379929,-210.08078628115038,5.380335084325251,0.9999999999995893,0.0,0.0,-260.836893241958,7.103401232079467,0.7813423767957773,0.04174930083469828,7.696250139800355,-210.1290170668335,5.381154513136145
2018-12-04,High_Vol,0.586948338778687,0.07597224375421309,9.812255406877103,-153.6232399311461,4.056302680333691,0.9999999999992237,0.0,0.0,-251.17086562460145,7.19275102017759,0.5870119944957074,0.07602870664949701,9.814886866861029,-153.64803773906033,4.056716490043403
2018-12-06,High_Vol,0.4537019794354461,0.06246001892027769,9.79423906771769,-120.58950329033372,3.0634812420398054,-8.347769714103285e-05,-0.00011976045919047997,-0.010825133366101337,0.03021614242110053,-0.0006262378383096615,0.45365638593630364,0.06250839900218579,9.796894761819233,-120.5890626368955,3.0630949579985036
2018-12-07,High_Vol,0.3426919662276767,0.061615427384355485,8.919743389778805,-91.52570108634555,2.2916196794650583,0.0001608478290963738,-7.740514757102506e-05,-0.0011972602924915086,-0.041447604301862465,0.0010962356270250726,0.3425795430784883,0.061638098232049784,8.921922546449254,-91.50970155502591,2.290761286285976
2018-12-10,High_Vol,0.25139453668318945,0.05438594290177934,7.590875255278683,-67.89647405825518,1.6576036993820997,0.00020541881777118477,1.655700162936508e-05,0.005602425023310205,-0.05725468463582857,0.0014071541155731826,0.25127570626466883,0.05437098270482139,7.5929748270223865,-67.88109270800646,1.656699986609199
2018-12-11,High_Vol,0.22317537337480392,0.05145310434384063,7.0406676005766595,-61.00288972490747,1.4593596362033612,0.0,0.0,0.0,0.0,0.0,0.22306786525990735,0.05142574036533734,7.042954720172317,-60.99081825290398,1.4585362187494588
2018-12-12,High_Vol,0.26014565639614123,0.05523380855315478,7.701778472473266,-71.09137576804697,1.7083505255732847,0.00020280581514527237,6.187699576865401e-06,0.004942449101309279,-0.05694178443804536,0.0013816207068954368,0.2600247762959639,0.05522267684681499,7.703835438446905,-71.07473713553247,1.7074370591608075
2018-12-14,High_Vol,0.21806348331210346,0.051177183136923536,6.942284551204398,-59.61384761861935,1.4255844776222732,0.0,0.0,0.0,0.0,0.0,0.21795875062044356,0.05114747762034684,6.944623906185753,-59.602529727058595,1.4247802722085945
2018-12-18,High_Vol,0.133867457900181,0.038075438814042746,4.998289281376244,-36.57598482243188,0.8638577079131664,0.0,0.0,0.0,0.0,0.0,0.1338488314728065,0.03801889890409342,5.00260492303173,-36.589379088596274,0.8636303032873819
2018-12-20,High_Vol,0.07719202729703593,0.02568408227674644,3.2792672955289577,-21.267876489838727,0.4891570503434474,0.0,0.0,0.0,0.0,0.0,0.07727359054177038,0.02563355846491684,3.2865023029944216,-21.30750085640898,0.4895909384779329
2018-12-21,High_Vol,0.039338502620950705,0.015462589944398778,1.8811462596916988,-10.980572223129894,0.24421039616440884,0.0,0.0,0.0,0.0,0.0,0.039490065597018696,0.015440096671825299,1.8907973222736758,-11.036278560681012,0.24509769870463394
2018-12-26,High_Vol,0.06844716748704148,0.023780901179046875,2.97563901013225,-18.959814829817155,0.43196514457048074,0.0,0.0,0.0,0.0,0.0,0.06854576214690195,0.023734009848842327,2.9834266558861957,-19.003489881335156,0.4325109179210514
